iata,name,city,country,lat,lon,timezone
WAW,Warsaw Chopin Airport,Warsaw,Poland,52.1657,20.9671,Europe/Warsaw
WMI,Warsaw Modlin Airport,Nowy Dwor Mazowiecki,Poland,52.4511,20.6518,Europe/Warsaw
LTN,London Luton Airport,London,United Kingdom,51.8747,-0.3683,Europe/London
BRS,Bristol Airport,Bristol,United Kingdom,51.3827,-2.7191,Europe/London
BOH,Bournemouth Airport,Bournemouth,United Kingdom,50.7800,-1.8425,Europe/London
LGW,London Gatwick Airport,London,United Kingdom,51.1537,-0.1821,Europe/London
STN,London Stansted Airport,London,United Kingdom,51.8860,0.2389,Europe/London
MAN,Manchester Airport,Manchester,United Kingdom,53.3537,-2.2750,Europe/London
LPL,Liverpool John Lennon Airport,Liverpool,United Kingdom,53.3336,-2.8497,Europe/London
BHX,Birmingham Airport,Birmingham,United Kingdom,52.4539,-1.7480,Europe/London
EMA,East Midlands Airport,Castle Donington,United Kingdom,52.8311,-1.3281,Europe/London
EDI,Edinburgh Airport,Edinburgh,United Kingdom,55.9500,-3.3725,Europe/London
BUD,Budapest Ferenc Liszt International Airport,Budapest,Hungary,47.4298,19.2611,Europe/Budapest
OTP,Bucharest Henri Coanda International Airport,Bucharest,Romania,44.5711,26.0850,Europe/Bucharest
CLJ,Cluj-Napoca International Airport,Cluj-Napoca,Romania,46.7852,23.6862,Europe/Bucharest
TSR,Timisoara Traian Vuia International Airport,Timisoara,Romania,45.8098,21.3379,Europe/Bucharest
SOF,Sofia Airport,Sofia,Bulgaria,42.6952,23.4062,Europe/Sofia
TLV,Ben Gurion Airport,Tel Aviv,Israel,32.0114,34.8867,Asia/Jerusalem
AMM,Queen Alia International Airport,Amman,Jordan,31.7226,35.9932,Asia/Amman
DXB,Dubai International Airport,Dubai,United Arab Emirates,25.2532,55.3657,Asia/Dubai
AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.4330,54.6511,Asia/Dubai
DOH,Hamad International Airport,Doha,Qatar,25.2731,51.6081,Asia/Qatar
BCN,Barcelona-El Prat Airport,Barcelona,Spain,41.2971,2.0785,Europe/Madrid
VLC,Valencia Airport,Valencia,Spain,39.4893,-0.4816,Europe/Madrid
AGP,Malaga-Costa del Sol Airport,Malaga,Spain,36.6749,-4.4991,Europe/Madrid
ALC,Alicante-Elche Airport,Alicante,Spain,38.2822,-0.5582,Europe/Madrid
PMI,Palma de Mallorca Airport,Palma de Mallorca,Spain,39.5517,2.7388,Europe/Madrid
MLA,Malta International Airport,Luqa,Malta,35.8575,14.4775,Europe/Malta
FCO,Rome Fiumicino Airport,Rome,Italy,41.8003,12.2389,Europe/Rome
CIA,Rome Ciampino Airport,Rome,Italy,41.7994,12.5949,Europe/Rome
MXP,Milan Malpensa Airport,Milan,Italy,45.6306,8.7281,Europe/Rome
LIN,Milan Linate Airport,Milan,Italy,45.4451,9.2767,Europe/Rome
BGO,Bergen Airport Flesland,Bergen,Norway,60.2934,5.2181,Europe/Oslo
OSL,Oslo Gardermoen Airport,Oslo,Norway,60.1976,11.1004,Europe/Oslo
TRD,Trondheim Airport Vaernes,Trondheim,Norway,63.4578,10.9240,Europe/Oslo
AAL,Aalborg Airport,Aalborg,Denmark,57.0928,9.8492,Europe/Copenhagen
CPH,Copenhagen Airport,Copenhagen,Denmark,55.6180,12.6560,Europe/Copenhagen
KEF,Keflavik International Airport,Reykjavik,Iceland,63.9850,-22.6056,Atlantic/Reykjavik
RIX,Riga International Airport,Riga,Latvia,56.9236,23.9711,Europe/Riga
TLL,Tallinn Airport,Tallinn,Estonia,59.4133,24.8328,Europe/Tallinn
VNO,Vilnius Airport,Vilnius,Lithuania,54.6341,25.2858,Europe/Vilnius
KUN,Kaunas Airport,Kaunas,Lithuania,54.9639,24.0848,Europe/Vilnius
KIV,Chisinau International Airport,Chisinau,Moldova,46.9277,28.9309,Europe/Chisinau
TIA,Tirana International Airport Nene Tereza,Tirana,Albania,41.4147,19.7206,Europe/Tirane
PRN,Pristina International Airport,Pristina,Kosovo,42.5728,21.0361,Europe/Belgrade
SKP,Skopje International Airport,Skopje,North Macedonia,41.9616,21.6214,Europe/Skopje
SPU,Split Airport,Split,Croatia,43.5389,16.2981,Europe/Zagreb
ZAG,Zagreb Airport,Zagreb,Croatia,45.7429,16.0688,Europe/Zagreb
LJU,Ljubljana Joze Pucnik Airport,Ljubljana,Slovenia,46.2237,14.4576,Europe/Ljubljana
BEG,Belgrade Nikola Tesla Airport,Belgrade,Serbia,44.8184,20.3091,Europe/Belgrade
SJJ,Sarajevo International Airport,Sarajevo,Bosnia and Herzegovina,43.8246,18.3315,Europe/Sarajevo
TIV,Tivat Airport,Tivat,Montenegro,42.4047,18.7233,Europe/Podgorica
POZ,Poznan-Lawica Airport,Poznan,Poland,52.4210,16.8263,Europe/Warsaw
GDN,Gdansk Lech Walesa Airport,Gdansk,Poland,54.3776,18.4662,Europe/Warsaw
WRO,Wroclaw Copernicus Airport,Wroclaw,Poland,51.1027,16.8858,Europe/Warsaw
KRK,Krakow John Paul II International Airport,Krakow,Poland,50.0777,19.7848,Europe/Warsaw
KTW,Katowice Airport,Katowice,Poland,50.4743,19.0800,Europe/Warsaw
RZE,Rzeszow-Jasionka Airport,Rzeszow,Poland,50.1100,22.0190,Europe/Warsaw
LUZ,Lublin Airport,Lublin,Poland,51.2403,22.7136,Europe/Warsaw
IEV,Kyiv Zhuliany International Airport,Kyiv,Ukraine,50.4019,30.4519,Europe/Kyiv
KBP,Boryspil International Airport,Kyiv,Ukraine,50.3450,30.8947,Europe/Kyiv
ODS,Odesa International Airport,Odesa,Ukraine,46.4268,30.6765,Europe/Kyiv
DUB,Dublin Airport,Dublin,Ireland,53.4213,-6.2701,Europe/Dublin
BVA,Paris Beauvais Airport,Paris,France,49.4544,2.1128,Europe/Paris
OPO,Francisco Sa Carneiro Airport,Porto,Portugal,41.2481,-8.6814,Europe/Lisbon
LIS,Humberto Delgado Airport,Lisbon,Portugal,38.7813,-9.1359,Europe/Lisbon
